KY,M,1968,Ernie,11
AZ,F,2002,Geneva,7
NY,F,1986,Irma,9
KY,M,1962,Benny,26
AZ,F,1936,Katherine,9
GA,M,1942,King,17
IL,F,1913,Violette,9
MI,F,1979,Lindsy,7
AK,M,1971,Micheal,11
MI,F,2015,Kaitlyn,38
